origin,destination,driver,ground_truth_effect_bps_approx,fitted_effect_bps,expected_sign,sign_match,selected_macro_timing
Current,DPD30,unemployment_1pp,20.0,17.447639093211592,positive,True,"unemployment_rate,unemployment_change_3m,hpi_change_yoy"
DPD30,Current,unemployment_1pp,-240.0,-209.15645206582957,negative,True,"unemployment_rate,unemployment_change_3m,hpi_change_yoy"
DPD30,DPD60,unemployment_1pp,260.0,254.53943920439482,positive,True,"unemployment_rate,unemployment_change_3m,hpi_change_yoy"
DPD60,DPD30,unemployment_1pp,-240.0,-270.3609661170725,negative,True,"unemployment_rate,unemployment_change_3m,hpi_change_yoy"
DPD60,DPD90,unemployment_1pp,260.0,231.81529028387575,positive,True,"unemployment_rate,unemployment_change_3m,hpi_change_yoy"
DPD90,DPD60,unemployment_1pp,-240.0,-254.0185785434901,negative,True,"unemployment_rate,unemployment_change_3m,hpi_change_yoy"
DPD90,DPD120,unemployment_1pp,260.0,275.19489177272345,positive,True,"unemployment_rate,unemployment_change_3m,hpi_change_yoy"
DPD120,DPD90,unemployment_1pp,-240.0,-282.913834699231,negative,True,"unemployment_rate,unemployment_change_3m,hpi_change_yoy"
DPD120,DPD150,unemployment_1pp,260.0,229.69325142814856,positive,True,"unemployment_rate,unemployment_change_3m,hpi_change_yoy"
DPD150,DPD120,unemployment_1pp,-240.0,-262.6376303007702,negative,True,"unemployment_rate,unemployment_change_3m,hpi_change_yoy"
DPD150,ChargeOff,unemployment_1pp,260.0,256.14361019602904,positive,True,"unemployment_rate,unemployment_change_3m,hpi_change_yoy"
Current,DPD30,lower_score,199.5,112.48759939929586,positive,True,"unemployment_rate,unemployment_change_3m,hpi_change_yoy"
DPD30,Current,lower_score,-1596.0,-1008.0025061592357,negative,True,"unemployment_rate,unemployment_change_3m,hpi_change_yoy"
DPD30,DPD60,lower_score,1396.5,980.7458002326807,positive,True,"unemployment_rate,unemployment_change_3m,hpi_change_yoy"
DPD60,DPD30,lower_score,-1596.0,-1041.8623124887138,negative,True,"unemployment_rate,unemployment_change_3m,hpi_change_yoy"
DPD60,DPD90,lower_score,1396.5,1019.8195237146205,positive,True,"unemployment_rate,unemployment_change_3m,hpi_change_yoy"
DPD90,DPD60,lower_score,-1596.0,-1190.0370558191278,negative,True,"unemployment_rate,unemployment_change_3m,hpi_change_yoy"
DPD90,DPD120,lower_score,1396.5,952.1818386986077,positive,True,"unemployment_rate,unemployment_change_3m,hpi_change_yoy"
DPD120,DPD90,lower_score,-1596.0,-970.3935180974723,negative,True,"unemployment_rate,unemployment_change_3m,hpi_change_yoy"
DPD120,DPD150,lower_score,1396.5,649.4741691314981,positive,True,"unemployment_rate,unemployment_change_3m,hpi_change_yoy"
DPD150,DPD120,lower_score,-1596.0,-721.4090657248076,negative,True,"unemployment_rate,unemployment_change_3m,hpi_change_yoy"
DPD150,ChargeOff,lower_score,1396.5,688.4357199553964,positive,True,"unemployment_rate,unemployment_change_3m,hpi_change_yoy"
Current,DPD30,seasoning_mob28_vs_100,39.9991078393561,28.73495383171597,positive,True,"unemployment_rate,unemployment_change_3m,hpi_change_yoy"
